iata,icao,name,location,time,country
HPV,Not Available,Princeville Airport (FAA: HI01),"Hanalei, Hawaii, United States",UTC−10:00,United States
HPY,KHPY,Baytown Airport,"Baytown, Texas, United States",UTC−06:00,United States
HQM,KHQM,Bowerman Airport,"Hoquiam, Washington, United States",UTC−08:00,United States
HRB,ZYHB,Harbin Taiping International Airport,"Harbin, Heilongjiang, China",UTC+08:00,China
HRC,Not Available,Zhayrem Airport,"Zhayrem, Kazakhstan",UTC+06:00,Kazakhstan
HRE,FVHA,Harare International Airport,"Harare, Zimbabwe",UTC+02:00,Zimbabwe
HRG,HEGN,Hurghada International Airport,"Hurghada, Egypt",UTC+02:00,Egypt
HRI,VCRI,Mattala Rajapaksa International Airport,"Hambantota, Sri Lanka",UTC+05:30,Sri Lanka
HRK,UKHH,Kharkiv International Airport (Osnova Airport),"Kharkiv, Ukraine",UTC+02:00,Ukraine
HRL,KHRL,Valley International Airport,"Harlingen, Texas, United States",UTC−06:00,United States
HRM,DAFH,Hassi R'Mel Airport (Tilrempt Airport),"Hassi R'Mel, Algeria",UTC+01:00,Algeria
HRO,KHRO,Boone County Airport,"Harrison, Arkansas, United States",UTC−06:00,United States
HRR,Not Available,La Herrera Airport,"La Herrera, Colombia",UTC−05:00,Colombia
HRS,FAHR,Harrismith Airport,"Harrismith, South Africa",UTC+02:00,South Africa
HRT,EGXU,RAF Linton-on-Ouse,"Linton-on-Ouse, England, United Kingdom",UTC±00:00,United Kingdom
HRY,YHBY,Henbury Airport,"Henbury, Northern Territory, Australia",UTC+09:30,Australia
HRZ,SSHZ[3],Horizontina Airport,"Horizontina, Rio Grande do Sul, Brazil",UTC−03:00,Brazil
HSA,UAIT,Hazret Sultan International Airport,"Turkistan, Turkistan Region, Kazakhstan",UTC+06:00,Kazakhstan
HSB,KHSB,Harrisburg-Raleigh Airport,"Harrisburg, Illinois, United States",UTC−06:00,United States
HSC,Not Available,Shaoguan Guitou Airport,"Shaoguan, Guangdong, China",UTC+08:00,China
HSG,RJFS,Saga Airport,"Saga, Kyushu, Japan",UTC+09:00,Japan
HSH,KHND,Henderson Executive Airport (FAA: HND),"Las Vegas, Nevada, United States",UTC−08:00,United States
HSI,KHSI,Hastings Municipal Airport,"Hastings, Nebraska, United States",UTC−06:00,United States
HSJ,Not Available,Zhengzhou Shangjie Airport[1],"Zhengzhou, Henan, China",UTC+08:00,China
HSK,LEHC,Huesca–Pirineos Airport,"Huesca, Aragon, Spain",UTC+01:00,Spain
HSL,PAHL,Huslia Airport (FAA: HLA),"Huslia, Alaska, United States",UTC−09:00,United States
HSM,YHSM,Horsham Airport,"Horsham, Victoria, Australia",UTC+10:00,Australia
HSN,ZSZS,Zhoushan Putuoshan Airport,"Zhoushan, Zhejiang, China",UTC+08:00,China
HSP,KHSP,Ingalls Field,"Hot Springs, Virginia, United States",UTC−05:00,United States
HSR,VAHS,Rajkot International Airport,"Rajkot, Gujarat, India",UTC+05:30,India
HSS,VIHR,Hisar Airport,"Hisar, Haryana, India",UTC+05:30,India
HST,KHST,Homestead Air Reserve Base,"Homestead, Florida, United States",UTC−05:00,United States
HSV,KHSV,Huntsville International Airport (Carl T. Jones Field),"Huntsville, Alabama, United States",UTC−06:00,United States
HSZ,RCPO,Hsinchu Air Base,"Hsinchu, Taiwan",UTC+08:00,Taiwan
HTA,UIAA,Chita International Airport (Kadala Airport),"Chita, Zabaykalsky Krai, Russia",UTC+09:00,Russia
HTG,UOHH,Khatanga Airport,"Khatanga, Krasnoyarsk Krai, Russia",UTC+07:00,Russia
HTH,KHTH,Hawthorne Industrial Airport,"Hawthorne, Nevada, United States",UTC−08:00,United States
HTI,YBHM,Hamilton Island Airport,"Hamilton Island, Queensland, Australia",UTC+10:00,Australia
HTL,KHTL,Roscommon County–Blodgett Memorial Airport,"Houghton Lake, Michigan, United States",UTC−05:00,United States
HTM,ZMHG,Khatgal Airport[1],"Khatgal, Mongolia",UTC+07:00,Mongolia
HTN,ZWTN,Hotan Airport,"Hotan, Xinjiang, China",UTC+06:00,China
HTO,KHTO,East Hampton Airport,"East Hampton, New York, United States",UTC−05:00,United States
HTR,RORH,Hateruma Airport,"Hateruma, Yaeyama Islands, Japan",UTC+09:00,Japan
HTS,KHTS,Tri-State Airport (Milton J. Ferguson Field),"Huntington, West Virginia, United States",UTC−05:00,United States
HTT,Not Available,Huatugou Airport,"Huatugou, Qinghai, China",UTC+08:00,China
HTU,YHPN,Hopetoun Airport,"Hopetoun, Victoria, Australia",UTC+10:00,Australia
HTV,KUTS,Huntsville Municipal Airport (Bruce Brothers Regional),"Huntsville, Texas, United States",UTC−06:00,United States
HTW,KHTW,Lawrence County Airpark,"Chesapeake / Huntington (WV), Ohio, United States",UTC−05:00,United States
HTY,LTDA,Hatay Airport,"Hatay, Turkey",UTC+03:00,Turkey
HTZ,SKHC,Hato Corozal Airport,"Hato Corozal, Colombia",UTC−05:00,Colombia
HUA,KHUA,Redstone Army Airfield,"Redstone Arsenal / Huntsville, Alabama, United States",UTC−06:00,United States
HUB,YHBR,Humbert River Airport,"Humbert River, Northern Territory, Australia",UTC+09:30,Australia
HUC,Not Available,Humacao Airport,"Humacao, Puerto Rico, United States",UTC−04:00,United States
HUD,Not Available,Humboldt Municipal Airport (FAA: 0K7),"Humboldt, Iowa, United States",UTC−06:00,United States
HUE,HAHU,Humera Airport,"Humera, Ethiopia",UTC+03:00,Ethiopia
HUF,KHUF,Terre Haute International Airport (Hulman Field),"Terre Haute, Indiana, United States",UTC−05:00,United States
HUG,MGHT,Huehuetenango Airport,"Huehuetenango, Guatemala",UTC−06:00,Guatemala
HUH,NTTH,Huahine – Fare Airport,"Huahine, Society Islands, French Polynesia",UTC−10:00,French Polynesia
HUI,VVPB,Phu Bai International Airport,"Huế, Vietnam",UTC+07:00,Vietnam
HUJ,KHHW,Stan Stamper Municipal Airport (FAA: HHW),"Hugo, Oklahoma, United States",UTC−06:00,United States
HUK,Not Available,Hukuntsi Airport,"Hukuntsi, Botswana",UTC+02:00,Botswana
HUL,KHUL,Houlton International Airport,"Houlton, Maine, United States",UTC−05:00,United States
HUM,KHUM,Houma–Terrebonne Airport,"Houma, Louisiana, United States",UTC−06:00,United States
HUN,RCYU,Hualien Airport,"Hualien, Taiwan",UTC+08:00,Taiwan
HUO,ZBHZ,Holingol Huolinhe Airport[1],"Holingol (Huolinguole), Inner Mongolia, China",UTC+08:00,China
HUQ,HLON,Hun Airport,"Hun, Libya",UTC+02:00,Libya
HUS,PAHU,Hughes Airport,"Hughes, Alaska, United States",UTC−09:00,United States
HUT,KHUT,Hutchinson Municipal Airport,"Hutchinson, Kansas, United States",UTC−06:00,United States
HUU,SPNC,Alférez FAP David Figueroa Fernandini Airport,"Huánuco, Peru",UTC−05:00,Peru
HUV,ESNH,Hudiksvall Airport,"Hudiksvall, Sweden",UTC+01:00,Sweden
HUW,SWHT,Francisco Correa da Cruz Airport[1],"Humaitá, Amazonas, Brazil",UTC−04:00,Brazil
HUX,MMBT,Bahías de Huatulco International Airport,"Huatulco, Oaxaca, Mexico",UTC−06:00,Mexico
HUY,EGNJ,Humberside Airport,"Kingston upon Hull, England, United Kingdom",UTC±00:00,United Kingdom
HUZ,ZGHZ,Huizhou Pingtan Airport,"Huizhou, Guangdong, China",UTC+08:00,China
HVA,FMNL,Analalava Airport,"Analalava, Madagascar",UTC+03:00,Madagascar
HVB,YHBA,Hervey Bay Airport,"Hervey Bay, Queensland, Australia",UTC+10:00,Australia
HVD,ZMKD,Khovd Airport,"Khovd, Mongolia",UTC+07:00,Mongolia
HVE,KHVE,Hanksville Airport,"Hanksville, Utah, United States",UTC−07:00,United States
HVG,ENHV,"Honningsvåg Airport, Valan","Honningsvåg, Norway",UTC+01:00,Norway
HVK,BIHK,Hólmavík Airport,"Hólmavík, Iceland",UTC±00:00,Iceland
HVN,KHVN,Tweed New Haven Airport,"New Haven, Connecticut, United States",UTC−05:00,United States
HVR,KHVR,Havre City–County Airport,"Havre, Montana, United States",UTC−07:00,United States
HVS,KHVS,Hartsville Regional Airport,"Hartsville, South Carolina, United States",UTC−05:00,United States
HWA,Not Available,Hawabango Airport,"Hawabango, Papua New Guinea",UTC+10:00,Papua New Guinea
HWD,KHWD,Hayward Executive Airport,"Hayward, California, United States",UTC−08:00,United States
HWI,Not Available,Hawk Inlet Seaplane Base,"Hawk Inlet, Alaska, United States",UTC−09:00,United States
HWK,YHAW,Wilpena Pound Airport,"Hawker, South Australia, Australia",UTC+09:30,Australia
HWN,FVWN,Hwange National Park Airport,"Hwange National Park, Zimbabwe",UTC+02:00,Zimbabwe
HWO,KHWO,North Perry Airport,"Hollywood, Florida, United States",UTC−05:00,United States
HXD,ZLDL,Delingha Airport,"Delingha, Qinghai, China",UTC+08:00,China
HXX,YHAY,Hay Airport,"Hay, New South Wales, Australia",UTC+10:00,Australia
HYA,KHYA,Barnstable Municipal Airport (Boardman/Polando Field),"Hyannis, Massachusetts, United States",UTC−05:00,United States
HYC,EGTB[4],Wycombe Air Park,"High Wycombe, England, United Kingdom",UTC±00:00,United Kingdom
HYD,VOHS,Rajiv Gandhi International Airport,"Hyderabad, Telangana, India",UTC+05:30,India
HYF,Not Available,Hayfields Airport,"Hayfields, Papua New Guinea",UTC+10:00,Papua New Guinea
HYG,PAHY,Hydaburg Seaplane Base,"Hydaburg, Alaska, United States",UTC−09:00,United States
HYL,Not Available,Hollis Clark Bay Seaplane Base,"Hollis, Alaska, United States",UTC−09:00,United States
HYN,ZSLQ,Taizhou Luqiao Airport,"Taizhou, Zhejiang, China",UTC+08:00,China
HYR,KHYR,Sawyer County Airport,"Hayward, Wisconsin, United States",UTC−06:00,United States
HYS,KHYS,Hays Regional Airport,"Hays, Kansas, United States",UTC−06:00,United States
HYV,EFHV,Hyvinkää Airfield,"Hyvinkää, Finland",UTC+02:00,Finland
HZA,ZSHZ,Heze Mudan Airport,"Heze, Shandong, China",UTC+08:00,China
HZB,LFQT,Merville–Calonne Airport,"Hazebrouck, Nord-Pas-de-Calais, France",UTC+01:00,France
HZG,ZLHZ,Hanzhong Chenggu Airport,"Hanzhong, Shaanxi, China",UTC+08:00,China
HZH,ZUNP,Liping Airport,"Liping, Guizhou, China",UTC+08:00,China
HZK,BIHU,Húsavík Airport,"Húsavík, Iceland",UTC±00:00,Iceland
HZL,KHZL,Hazleton Municipal Airport,"Hazleton, Pennsylvania, United States",UTC−05:00,United States
HZP,CYNR,Fort MacKay/Horizon Airport[1],"Fort McKay, Alberta, Canada",UTC−07:00,Canada
HZU,Not Available,Chengdu Huaizhou Airport,"Chengdu, Sichuan, China",UTC+08:00,China
HZV,FAHW,Hazyview Airport,"Hazyview, South Africa",UTC+02:00,South Africa
IAA,UOII,Igarka Airport,"Igarka, Krasnoyarsk Krai, Russia",UTC+07:00,Russia
IAB,KIAB,McConnell Air Force Base,"Wichita, Kansas, United States",UTC−06:00,United States
IAD,KIAD,Washington Dulles International Airport,"Washington, D.C.,1 United States",UTC−05:00,1 United States
IAG,KIAG,Niagara Falls International Airport,"Niagara Falls, New York, United States",UTC−05:00,United States
IAH,KIAH,George Bush Intercontinental Airport,"Houston, Texas, United States",UTC−06:00,United States
IAM,DAUZ,In Amenas Airport (Zarzaitine Airport),"In Amenas, Algeria",UTC+01:00,Algeria
IAN,PAIK,Bob Baker Memorial Airport,"Kiana, Alaska, United States",UTC−09:00,United States
IAO,RPNS,Sayak Airport[1] (Siargao Airport),"Del Carmen, Philippines",UTC+08:00,Philippines
IAQ,OIBH[2],Bahregan Airport,"Bahregan, Iran",UTC+03:30,Iran
IAR,UUDL,Tunoshna Airport,"Yaroslavl, Yaroslavl Oblast, Russia",UTC+03:00,Russia
IAS,LRIA,Iași International Airport,"Iași, Romania",UTC+02:00,Romania
IAU,Not Available,Iaura Airport,"Iaura, Papua New Guinea",UTC+10:00,Papua New Guinea
IBA,DNIB,Ibadan Airport,"Ibadan, Nigeria",UTC+01:00,Nigeria
IBB,SEII[3],General Villamil Airport[1],"Isabela Island, Galápagos Islands, Ecuador",UTC−06:00,Ecuador
IBE,SKIB,Perales Airport,"Ibagué, Colombia",UTC−05:00,Colombia
IBI,Not Available,Iboki Airport,"Iboki, Papua New Guinea",UTC+10:00,Papua New Guinea
IBL,Not Available,Indigo Bay Lodge Airport,"Bazaruto Island, Mozambique",UTC+02:00,Mozambique
IBO,Not Available,Ibo Island Airport[1],"Ibo Island, Mozambique",UTC+02:00,Mozambique
IBP,SPBR,Iberia Airport,"Iberia, Peru",UTC−05:00,Peru
IBR,RJAH,Ibaraki Airport,"Omitama, Honshu, Japan",UTC+09:00,Japan
IBZ,LEIB,Ibiza Airport,"Ibiza, Balearic Islands, Spain",UTC+01:00,Spain
ICA,SVIC,Icabarú Airport,"Icabarú, Venezuela",UTC−04:00,Venezuela
ICC,SVIE,Andrés Miguel Salazar Marcano Airport[1],"Coche Island, Venezuela",UTC−04:00,Venezuela
ICI,NFCI,Cicia Airport,"Cicia Island, Fiji",UTC+12:00,Fiji
ICK,SMNI,Majoor Henk Fernandes Airport (Nieuw Nickerie Airport),"Nieuw Nickerie, Suriname",UTC−03:00,Suriname
ICL,KICL,Schenck Field,"Clarinda, Iowa, United States",UTC−06:00,United States
ICN,RKSI,Incheon International Airport,"Seoul, South Korea",UTC+09:00,South Korea
ICO,RPSG,Sicogon Airport,"Sicogon, Philippines",UTC+08:00,Philippines
ICS,Not Available,Cascade Airport[1] (FAA: KU70),"Cascade, Idaho, United States",UTC−07:00,United States
ICT,KICT,Wichita Dwight D. Eisenhower National Airport,"Wichita, Kansas, United States",UTC−06:00,United States
ICY,Not Available,Icy Bay Airport (FAA: 19AK),"Icy Bay, Alaska, United States",UTC−09:00,United States
IDA,KIDA,Idaho Falls Regional Airport,"Idaho Falls, Idaho, United States",UTC−07:00,United States
IDB,ESUE,Idre Airport,"Idre, Sweden",UTC+01:00,Sweden
IDC,Not Available,Chilonzuine Island Airstrip[1],"Chilonzuine Island, Mozambique",UTC+02:00,Mozambique
IDF,FZCB,Idiofa Airport,"Idiofa, Democratic Republic of the Congo",UTC+01:00,Democratic Republic of the Congo
IDG,KIDG,Ida Grove Municipal Airport,"Ida Grove, Iowa, United States",UTC−06:00,United States
IDH,KGIC,Idaho County Airport[1] (FAA: GIC),"Grangeville, Idaho, United States",UTC−07:00,United States
IDI,KIDI,Indiana County–Jimmy Stewart Airport,"Indiana, Pennsylvania, United States",UTC−05:00,United States
IDK,YIDK,Indulkana Airport,"Indulkana, South Australia, Australia",UTC+09:30,Australia
IDN,Not Available,Indagen Airport,"Indagen, Papua New Guinea",UTC+10:00,Papua New Guinea
IDO,SWIY,Santa Isabel do Morro Airport,"Santa Isabel do Morro, Tocantins, Brazil",UTC−03:00,Brazil
IDP,KIDP,Independence Municipal Airport,"Independence, Kansas, United States",UTC−06:00,United States
IDR,VAID,Devi Ahilyabai Holkar International Airport,"Indore, Madhya Pradesh, India",UTC+05:30,India
IDY,LFEY,Île d'Yeu Aerodrome,"Île d'Yeu, Pays de la Loire, France",UTC+01:00,France
IEG,EPZG,Zielona Góra Airport,"Zielona Góra, Poland",UTC+01:00,Poland
IEJ,RORE,Iejima Airport,"Iejima, Okinawa, Japan",UTC+09:00,Japan
IES,EDAU,Riesa–Göhlis Airfield,"Riesa, Saxony, Germany",UTC+01:00,Germany
IEV,UKKK,Kyiv International Airport (Zhuliany),"Kyiv, Ukraine",UTC+02:00,Ukraine
IFA,KIFA,Iowa Falls Municipal Airport,"Iowa Falls, Iowa, United States",UTC−06:00,United States
IFF,YIFY,Iffley Airport,"Iffley, Queensland, Australia",UTC+10:00,Australia
IFH,OIFE,Hesa Air Base[1],"Shahin Shahr, Iran",UTC+03:30,Iran
IFJ,BIIS,Ísafjörður Airport,"Ísafjörður, Iceland",UTC±00:00,Iceland
IFL,YIFL,Innisfail Airport,"Innisfail, Queensland, Australia",UTC+10:00,Australia
IFN,OIFM,Isfahan International Airport (Shahid Beheshti Int'l),"Isfahan, Iran",UTC+03:30,Iran
IFO,UKLI,Ivano-Frankivsk International Airport,"Ivano-Frankivsk, Ukraine",UTC+02:00,Ukraine
IFP,KIFP,Laughlin/Bullhead International Airport,"Bullhead City, Arizona, United States",UTC−07:00,United States
IFU,VREI,Ifuru Airport[1],"Ifuru, Raa Atoll, Maldives",UTC+05:00,Maldives
IGA,MYIG,Inagua Airport (Matthew Town Airport),"Inagua Islands, Bahamas",UTC−05:00,Bahamas
IGB,SAVJ,Ingeniero Jacobacci Airport (Capitán FAA H. R. Borden Airport),"Ingeniero Jacobacci, Río Negro, Argentina",UTC−03:00,Argentina
IGD,LTCT,Iğdır Airport[1],"Iğdır, Turkey",UTC+03:00,Turkey
IGE,FOOI,Tchongorove Airport,"Iguela, Gabon",UTC+01:00,Gabon
IGG,PAIG,Igiugig Airport,"Igiugig, Alaska, United States",UTC−09:00,United States
IGH,YIGM,Ingham Airport,"Ingham, Queensland, Australia",UTC+10:00,Australia
IGL,LTBL,Çiğli Air Base,"İzmir, Turkey",UTC+03:00,Turkey
IGM,KIGM,Kingman Airport,"Kingman, Arizona, United States",UTC−07:00,United States
IGN,RPMI,Maria Cristina Airport (Iligan Airport),"Iligan, Philippines",UTC+08:00,Philippines
IGO,SKIG,Jaime Ortíz Betancur Airport,"Chigorodó, Colombia",UTC−05:00,Colombia
IGR,SARI,Cataratas del Iguazú International Airport,"Puerto Iguazú, Misiones, Argentina",UTC−03:00,Argentina
IGS,ETSI,Ingolstadt Manching Airport,"Ingolstadt, Bavaria, Germany",UTC+01:00,Germany
IGT,URMS,Magas Airport (Sleptsovskaya Airport),"Nazran, Ingushetia, Russia",UTC+03:00,Russia
IGU,SBFI,Foz do Iguaçu International Airport,"Foz do Iguaçu, Paraná, Brazil",UTC−03:00,Brazil
IHC,FQIA,Inhaca Airport[1],"Inhaca Island, Mozambique",UTC+02:00,Mozambique
IHN,OYQN,Qishn Airport,"Qishn, Yemen",UTC+03:00,Yemen
IHO,FMSI,Ihosy Airport,"Ihosy, Madagascar",UTC+03:00,Madagascar
IHR,OIZI,Iranshahr Airport[1],"Iranshahr, Iran",UTC+03:30,Iran
IHU,Not Available,Ihu Airport,"Ihu, Papua New Guinea",UTC+10:00,Papua New Guinea
IIA,EIMN,Inishmaan Aerodrome,"Inishmaan, Ireland",UTC±00:00,Ireland
IIL,OICI,Ilam Airport[1],"Ilam, Iran",UTC+03:30,Iran
IIS,AYIA,Nissan Island Airport,"Nissan Island, Papua New Guinea",UTC+11:00,Papua New Guinea
IJK,USII,Izhevsk Airport,"Izhevsk, Udmurtia, Russia",UTC+04:00,Russia
IJU,SSIJ,João Batista Bos Filho Airport,"Ijuí, Rio Grande do Sul, Brazil",UTC−03:00,Brazil
IJX,KIJX,Jacksonville Municipal Airport,"Jacksonville, Illinois, United States",UTC−06:00,United States
IKA,OIIE,Tehran Imam Khomeini International Airport,"Tehran, Iran",UTC+03:30,Iran
IKB,KUKF,Wilkes County Airport (FAA: UKF),"North Wilkesboro, North Carolina, United States",UTC−05:00,United States
IKI,RJDB,Iki Airport,"Iki, Iki Island, Japan",UTC+09:00,Japan
IKK,KIKK,Greater Kankakee Airport,"Kankakee, Illinois, United States",UTC−06:00,United States
IKL,FZGV,Ikela Airport,"Ikela, Democratic Republic of the Congo",UTC+01:00,Democratic Republic of the Congo
IKO,PAKO,Nikolski Air Station,"Nikolski, Alaska, United States",UTC−09:00,United States
IKP,YIKM,Inkerman Airport,"Inkerman, Queensland, Australia",UTC+10:00,Australia
IKS,UEST,Tiksi Airport,"Tiksi, Yakutia, Russia",UTC+09:00,Russia
IKT,UIII,International Airport Irkutsk,"Irkutsk, Irkutsk Oblast, Russia",UTC+08:00,Russia
IKU,UCFL,Issyk-Kul International Airport,"Tamchy, Issyk-Kul Region, Kyrgyzstan",Unknown,Kyrgyzstan
ILA,WABL,Illaga Airport,"Illaga, Indonesia",UTC+09:00,Indonesia
ILD,LEDA,Lleida–Alguaire Airport,"Lleida, Catalonia, Spain",UTC+01:00,Spain
ILE,KILE,Skylark Field,"Killeen, Texas, United States",UTC−06:00,United States
ILF,CZBD,Ilford Airport,"Ilford, Manitoba, Canada",UTC−06:00,Canada
ILG,KILG,Wilmington Airport (New Castle Airport),"Wilmington, Delaware, United States",UTC−05:00,United States
ILH,ETIK,Storck Barracks,"Illesheim, Bavaria, Germany",UTC+01:00,Germany
ILI,PAIL,Iliamna Airport,"Iliamna, Alaska, United States",UTC−09:00,United States
ILK,FMMQ,Ilaka-Est Airport (Atsinanana Airport),"Ilaka, Madagascar",UTC+03:00,Madagascar
ILL,KBDH,Willmar Municipal Airport (John L. Rice Field),"Willmar, Minnesota, United States",UTC−06:00,United States
ILM,KILM,Wilmington International Airport,"Wilmington, North Carolina, United States",UTC−05:00,United States
ILN,KILN,Wilmington Air Park,"Wilmington, Ohio, United States",UTC−05:00,United States
ILO,RPVI,Iloilo International Airport,"Iloilo, Philippines",UTC+08:00,Philippines
ILP,NWWE,Île des Pins Airport,"Île des Pins, New Caledonia",UTC+11:00,New Caledonia
ILQ,SPLO,Ilo Airport,"Ilo, Peru",UTC−05:00,Peru
ILR,DNIL,Ilorin International Airport,"Ilorin, Nigeria",UTC+01:00,Nigeria
ILS,MSSS,Ilopango International Airport,"San Salvador, El Salvador",Unknown,El Salvador
ILU,HKKL,Kilaguni Airport,"Kilaguni, Kenya",UTC+03:00,Kenya
ILX,Not Available,Ileg Airport,"Ileg, Papua New Guinea",UTC+10:00,Papua New Guinea
ILY,EGPI,Islay Airport (Glenegedale Airport),"Islay, Scotland, United Kingdom",UTC±00:00,United Kingdom
ILZ,LZZI,Žilina Airport,"Žilina, Slovakia",UTC+01:00,Slovakia
IMA,Not Available,Iamalele Airport,"Iamalele, Papua New Guinea",UTC+10:00,Papua New Guinea
IMB,SYIB,Imbaimadai Airport,"Imbaimadai, Guyana",UTC−04:00,Guyana
IMD,Not Available,Imonda Airport,"Imonda, Papua New Guinea",UTC+10:00,Papua New Guinea
IMF,VEIM,Imphal International Airport (Tulihal Airport),"Imphal, Manipur, India",UTC+05:30,India
IMG,Not Available,Inhaminga Airport,"Inhaminga, Mozambique",UTC+02:00,Mozambique
IMI,Not Available,Ine Airport (FAA: N20),"Ine, Arno Atoll, Marshall Islands",UTC+12:00,Marshall Islands
IMK,VNST,Simikot Airport,"Simikot, Nepal",UTC+05:45,Nepal
IML,KIML,Imperial Municipal Airport,"Imperial, Nebraska, United States",UTC−07:00,United States
IMM,KIMM,Immokalee Regional Airport,"Immokalee, Florida, United States",UTC−05:00,United States
IMN,AYII,Imane Airport,"Imane, Papua New Guinea",UTC+10:00,Papua New Guinea
IMO,FEFZ,Zemio Airport,"Zemio, Central African Republic",UTC+01:00,Central African Republic
IMP,SBIZ,Imperatriz Airport (Prefeito Renato Moreira Airport),"Imperatriz, Maranhão, Brazil",UTC−03:00,Brazil
IMQ,OITU,Maku International Airport,"Maku, West Azerbaijan Province, Iran",UTC−03:30,Iran
IMT,KIMT,Ford Airport,"Iron Mountain / Kingsford, Michigan, United States",UTC−06:00,United States
INA,UUYI,Inta Airport,"Inta, Komi Republic, Russia",UTC+03:00,Russia
INB,Not Available,Independence Airport,"Independence, Belize",UTC−06:00,Belize
INC,ZLIC,Yinchuan Hedong International Airport,"Yinchuan, Ningxia, China",UTC+08:00,China
IND,KIND,Indianapolis International Airport,"Indianapolis, Indiana, United States",UTC−05:00,United States
INE,Not Available,Chinde Airport,"Chinde, Mozambique",UTC+02:00,Mozambique
INF,DATG,In Guezzam Airport,"In Guezzam, Algeria",UTC+01:00,Algeria
INH,FQIN,Inhambane Airport,"Inhambane, Mozambique",UTC+02:00,Mozambique
INI,LYNI,Niš Constantine the Great Airport,"Niš, Serbia",UTC+01:00,Serbia
INJ,YINJ,Injune Airport,"Injune, Queensland, Australia",UTC+10:00,Australia
INK,KINK,Winkler County Airport,"Wink, Texas, United States",UTC−06:00,United States
INL,KINL,Falls International Airport,"International Falls, Minnesota, United States",UTC−06:00,United States
INM,YINN,Innamincka Airport,"Innamincka, South Australia, Australia",UTC+09:30,Australia
INN,LOWI,Innsbruck Airport (Kranebitten Airport),"Innsbruck, Austria",UTC+01:00,Austria
INO,FZBA,Inongo Airport,"Inongo, Democratic Republic of the Congo",UTC+01:00,Democratic Republic of the Congo
INQ,EIIR,Inisheer Aerodrome,"Inisheer, Ireland",UTC±00:00,Ireland
INS,KINS,Creech Air Force Base,"Indian Springs, Nevada, United States",UTC−08:00,United States
INT,KINT,Smith Reynolds Airport,"Winston-Salem, North Carolina, United States",UTC−05:00,United States
INU,ANYN,Nauru International Airport,"Yaren, Nauru",UTC+12:00,Nauru
INV,EGPE,Inverness Airport,"Inverness, Scotland, United Kingdom",UTC±00:00,United Kingdom
INW,KINW,Winslow–Lindbergh Regional Airport,"Winslow, Arizona, United States",UTC−07:00,United States
INX,WASI,Inanwatan Airport,"Inanwatan, Indonesia",UTC+09:00,Indonesia
INY,Not Available,Inyati Airport,"Inyati, South Africa",UTC+02:00,South Africa
INZ,DAUI,In Salah Airport,"In Salah, Algeria",UTC+01:00,Algeria
IOA,LGIO,Ioannina National Airport,"Ioannina, Greece",UTC+02:00,Greece
IOK,Not Available,Iokea Airport,"Iokea, Papua New Guinea",UTC+10:00,Papua New Guinea
IOM,EGNS,Isle of Man Airport (Ronaldsway Airport),"Ronaldsway, Isle of Man",UTC±00:00,Isle of Man
ION,FCOI,Impfondo Airport,"Impfondo, Republic of the Congo",UTC+01:00,Republic of the Congo
IOP,Not Available,Ioma Airport,"Ioma, Papua New Guinea",UTC+10:00,Papua New Guinea
IOR,EIIM,Inishmore Aerodrome (Kilronan Airport),"Inishmore, Ireland",UTC±00:00,Ireland
IOS,SBIL,Ilhéus Jorge Amado Airport,"Ilhéus, Bahia, Brazil",UTC−03:00,Brazil
IOT,BGLL,Illorsuit Heliport,"Avannaata, Greenland",Unknown,Greenland
IOW,KIOW,Iowa City Municipal Airport,"Iowa City, Iowa, United States",UTC−06:00,United States
IPA,NVVI,Ipota Airport,"Erromango, Tafea, Vanuatu",UTC+11:00,Vanuatu
IPC,SCIP,Mataveri International Airport (Isla de Pascua Airport),"Easter Island, Chile",UTC−06:00,Chile
IPE,RPMV,Ipil Airport,"Ipil, Philippines",UTC+08:00,Philippines
IPG,SWII,Ipiranga Airport,"Santo Antônio do Içá, Amazonas, Brazil",UTC−04:00,Brazil
IPH,WMKI,Sultan Azlan Shah Airport,"Ipoh, Perak, Malaysia",UTC+08:00,Malaysia
IPI,SKIP,San Luis Airport,"Ipiales, Colombia",UTC−05:00,Colombia
IPL,KIPL,Imperial County Airport (Boley Field),"Imperial / El Centro, California, United States",UTC−08:00,United States
IPN,SBIP,Usiminas Airport,"Ipatinga, Minas Gerais, Brazil",UTC−03:00,Brazil
IPT,KIPT,Williamsport Regional Airport,"Williamsport, Pennsylvania, United States",UTC−05:00,United States
IPU,SNIU,Ipiaú Airport,"Ipiaú, Bahia, Brazil",UTC−03:00,Brazil
IPZ,MRSI,San Isidro de El General Airport,"San Isidro de El General, Pérez Zeledón, Costa Rica",Unknown,Costa Rica
IQA,ORAA,Al Asad Airbase[1],"Anbar Province, Iraq",UTC+03:00,Iraq
IQM,ZWCM,Qiemo Airport,"Qiemo, Xinjiang, China",UTC+06:00,China
IQN,ZLQY,Qingyang Airport,"Qingyang, Gansu, China",UTC+08:00,China
IQQ,SCDA,Diego Aracena International Airport,"Iquique, Chile",UTC−04:00,Chile
IQT,SPQT,Coronel FAP Francisco Secada Vignetta International Airport,"Iquitos, Peru",UTC−05:00,Peru
IRA,AGGK,Kirakira Airport (Ngorangora Airstrip),"Kirakira, Makira Island, Solomon Islands",UTC+11:00,Solomon Islands
